smoothing	smoothingAlpha	smoothingWindow	windowRatio	damping	preference_level0	preference_level1	preference_level2	unknown	std.dev
true	1.45	2.0	0.9	0.9	0.5	-0.4	-2.0	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.5	-0.4	-1.0	0.361812857923969	0.04110578721689834
true	1.45	2.0	0.9	0.9	0.5	-0.4	-1.5	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.5	-0.4	-0.5	0.361923652479208	0.09677213732769288
true	1.45	2.0	0.9	0.9	0.5	-0.3	-2.0	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.5	-0.3	-1.0	0.361812857923969	0.04110578721689834
true	1.45	2.0	0.9	0.9	0.5	-0.3	-1.5	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.5	-0.3	-0.5	0.361923652479208	0.09677213732769288
true	1.45	2.0	0.9	0.9	0.5	0.0	-2.0	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.5	0.0	-1.0	0.361812857923969	0.04110578721689834
true	1.45	2.0	0.9	0.9	0.5	0.0	-1.5	0.3752316613427724	0.05452459063570175
true	1.45	2.0	0.9	0.9	0.5	0.0	-0.5	0.361923652479208	0.09677213732769288
true	1.45	2.0	0.9	0.9	0.5	0.1	-2.0	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.5	0.1	-1.0	0.361812857923969	0.04110578721689834
true	1.45	2.0	0.9	0.9	0.5	0.1	-1.5	0.379346887680221	0.05863981697315035
true	1.45	2.0	0.9	0.9	0.5	0.1	-0.5	0.361923652479208	0.09677213732769288
true	1.45	2.0	0.9	0.9	0.5	0.0	-2.0	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.5	0.0	-1.0	0.361812857923969	0.04110578721689834
true	1.45	2.0	0.9	0.9	0.5	0.0	-1.5	0.3752316613427724	0.05452459063570175
true	1.45	2.0	0.9	0.9	0.5	0.0	-0.5	0.361923652479208	0.09677213732769288
true	1.45	2.0	0.9	0.9	0.4	-0.4	-2.0	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.4	-0.4	-1.0	0.361812857923969	0.04110578721689834
true	1.45	2.0	0.9	0.9	0.4	-0.4	-1.5	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.4	-0.4	-0.5	0.361923652479208	0.09677213732769288
true	1.45	2.0	0.9	0.9	0.4	-0.3	-2.0	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.4	-0.3	-1.0	0.361812857923969	0.04110578721689834
true	1.45	2.0	0.9	0.9	0.4	-0.3	-1.5	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.4	-0.3	-0.5	0.361923652479208	0.09677213732769288
true	1.45	2.0	0.9	0.9	0.4	0.0	-2.0	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.4	0.0	-1.0	0.361812857923969	0.04110578721689834
true	1.45	2.0	0.9	0.9	0.4	0.0	-1.5	0.3752316613427724	0.05452459063570175
true	1.45	2.0	0.9	0.9	0.4	0.0	-0.5	0.361923652479208	0.09677213732769288
true	1.45	2.0	0.9	0.9	0.4	0.1	-2.0	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.4	0.1	-1.0	0.361812857923969	0.04110578721689834
true	1.45	2.0	0.9	0.9	0.4	0.1	-1.5	0.379346887680221	0.05863981697315035
true	1.45	2.0	0.9	0.9	0.4	0.1	-0.5	0.361923652479208	0.09677213732769288
true	1.45	2.0	0.9	0.9	0.4	0.0	-2.0	0.2964282425393536	0.024278828167717037
true	1.45	2.0	0.9	0.9	0.4	0.0	-1.0	0.361812857923969	0.04110578721689834
true	1.45	2.0	0.9	0.9	0.4	0.0	-1.5	0.3752316613427724	0.05452459063570175
true	1.45	2.0	0.9	0.9	0.4	0.0	-0.5	0.361923652479208	0.09677213732769288
